name,survey,theta_E_pub,prom_native,prom_euclid,frac_euc_v3_inc@euclid,frac_euc_v3_res@euclid,frac_hyb_v2@native,frac_m3@native,frac_paltas_v1@native,frac_pathb_ens@native,frac_pathb_inc@native,frac_pathb_res@native,frac_sel_ens@euclid,frac_sel_inc@euclid,frac_sel_res@euclid,frac_v3_inc@native,frac_v3_res@native,fail_euc_v3_inc@euclid,fail_euc_v3_res@euclid,fail_hyb_v2@native,fail_m3@native,fail_paltas_v1@native,fail_pathb_ens@native,fail_pathb_inc@native,fail_pathb_res@native,fail_sel_ens@euclid,fail_sel_inc@euclid,fail_sel_res@euclid,fail_v3_inc@native,fail_v3_res@native,nfail_native_cur,nfail_euclid_cur,excluded
J1402+6321,SLACS,1.350000023841858,464.84967088500815,352.62566927624727,-0.03029629629629641,-0.4477777777777778,-0.06555555555555558,-0.22074074074074077,-0.02355555555555559,-0.16437037037037036,-0.09333333333333341,-0.23540740740740745,-0.2705555555555556,-0.05637037037037041,-0.48474074074074075,-0.25822222222222224,-0.27244444444444454,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,False
J1403+0006,SLACS,0.8299999833106995,8382.657467636234,6064.831469879101,0.018192771084337353,-0.10795180722891569,-0.0734939759036144,0.053614457831325416,0.12614457831325304,0.10650602409638558,0.04385542168674698,0.1691566265060242,0.0302409638554217,0.1408433734939759,-0.0803614457831325,0.030481927710843362,-0.13228915662650603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
J1416+5136,SLACS,1.3700000047683716,40.70621123753085,39.55727771606373,-0.08970802919708029,-0.29401459854014605,-0.5262773722627737,0.017445255474452415,-0.4469343065693431,0.10894160583941596,0.2626277372262773,-0.044744525547445346,0.0736131386861313,0.25401459854014585,-0.10678832116788327,-0.09094890510948908,-0.3454014598540146,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,False
J1420+6019,SLACS,1.0399999618530273,153.21348861023785,129.86277688298682,0.006923076923076801,0.0060576923076922804,0.051634615384615244,0.2073076923076923,0.1637499999999999,0.003173076923076787,-0.0013461538461539114,0.007692307692307699,0.008846153846153726,-0.014038461538461486,0.03173076923076915,0.02701923076923078,0.05009615384615388,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J1430+4105,SLACS,1.5199999809265137,129.94560971917062,123.82603861565228,-0.019934210526315783,-0.21822368421052638,-0.003947368421052635,0.042960526315789414,-0.10546052631578955,0.04154605263157897,0.0330921052631579,0.050000000000000044,0.11078947368421045,0.12197368421052632,0.09960526315789472,-0.0436184210526316,-0.04276315789473681,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J1432+6317,SLACS,1.2599999904632568,143.57034789911754,148.03998911528208,-0.08341269841269838,-0.11666666666666668,-0.029444444444444374,-0.07333333333333336,-0.044841269841269835,0.5425396825396825,0.517063492063492,0.568015873015873,0.5200396825396825,0.562936507936508,0.4771428571428571,-0.17603174603174604,-0.05468253968253965,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,False
J1436-0000,SLACS,1.1200000047683716,173.89996348968907,121.19284900278227,0.14848214285714276,0.1640178571428571,-0.06428571428571433,-0.42901785714285723,-0.12392857142857154,0.059151785714285636,0.03258928571428569,0.08571428571428559,0.23504464285714283,0.2883035714285714,0.18178571428571427,0.007678571428571375,0.017857142857142672,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,False
J1443+0304,SLACS,0.8100000023841858,188.57417741912923,198.0315538090872,0.041111111111111105,0.014691358024691247,-0.007160493827160527,0.1328395061728394,-0.010987654320987677,-0.10216049382716061,-0.16419753086419753,-0.04012345679012356,-0.030185185185185287,-0.04580246913580249,-0.014567901234567941,-0.02518518518518529,0.012962962962962905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
J1451-0239,SLACS,1.0399999618530273,976.7611866085543,556.1677615247111,0.043365384615384535,0.03644230769230773,-0.2739423076923077,-0.2841346153846154,-0.14057692307692307,-0.04057692307692309,-0.014615384615384714,-0.06653846153846157,0.18307692307692297,0.24057692307692305,0.1255769230769231,0.0005769230769230133,-0.021442307692307677,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,False
J1525+3327,SLACS,1.309999942779541,30.04153448130547,29.930078675255864,0.01572519083969462,-0.05251908396946563,-0.05419847328244271,0.1980152671755724,-0.05748091603053446,0.30973282442748096,0.2774045801526717,0.34206106870229,0.2764122137404579,0.2831297709923664,0.26969465648854957,-0.0952671755725191,-0.08282442748091606,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,False
