i,name,theta_E_pub,off_center,defl_re_px,defl_re_as,n_field_comp,arc_coverage,n_knots,arc_radius_px,arc_defl_flux,arc_contrast,flag_off_center,flag_no_arc,flag_two_light,flag_theta_mismatch,flag_tiny_theta
218,102157958_2719195933641972975,0.911,0.3,8.5,0.423,0,0.667,2,18.3,0.1989,28.1,0,0,0,0,0
219,102157958_2727137773639721420,0.783,4.4,11.9,0.596,2,0.583,2,15.3,0.3538,37.4,0,0,0,0,0
220,102158270_2654337786643538414,0.758,6.5,16.7,0.837,1,0.708,3,16.2,0.4536,98.4,0,0,0,0,0
221,102158270_2656382386643695481,0.527,0.8,8.9,0.445,2,0.625,2,10.9,0.1936,23.4,0,0,0,0,0
222,102158270_2656815066646473630,0.827,0.7,12.1,0.604,3,0.792,4,16.5,0.1393,18.8,0,0,0,0,0
223,102158270_2662527621645054682,1.421,5.0,8.8,0.44,2,0.375,2,31.9,0.034,15.2,0,0,0,0,0
224,102158271_2672343829643151429,0.642,0.7,11.2,0.56,3,0.417,3,13.8,0.4904,11.1,0,0,0,0,0
225,102158272_2678087036644598709,0.498,1.4,8.7,0.433,1,0.75,2,9.6,0.2724,38.1,0,0,0,0,0
226,102158272_2683555203642954376,1.886,5.8,11.2,0.561,1,0.833,5,34.5,0.1439,35.6,0,0,0,0,0
227,102158272_2685730342643470690,0.765,2.3,11.9,0.594,4,0.625,2,16.4,0.1166,18.2,0,0,0,0,0
228,102158273_2697192667642722765,0.579,1.9,10.9,0.544,1,0.458,3,12.5,0.238,10.6,0,0,0,0,0
229,102158274_2704723597642696271,0.845,1.5,8.4,0.42,1,0.375,3,14.5,0.0457,8.2,0,0,0,0,0
230,102158274_2706060111645234144,0.506,2.4,10.5,0.526,2,0.667,1,11.4,0.2302,57.0,0,0,0,0,0
231,102158275_2709777393645726835,1.058,3.2,11.9,0.597,2,0.833,2,22.0,0.3181,66.2,0,0,0,0,0
232,102158275_2713231622643632503,0.612,1.7,8.7,0.434,0,0.75,2,12.6,0.1809,50.2,0,0,0,0,0
233,102158276_2727435595645547639,0.893,1.0,11.8,0.59,6,0.625,2,19.5,0.1508,60.5,0,0,0,0,0
234,102158276_2727570223645896962,1.028,0.6,8.4,0.422,3,0.458,2,16.6,0.0305,12.3,0,0,0,0,0
235,102158277_2733524648645511387,0.564,0.3,8.3,0.417,3,0.792,2,12.2,0.2742,122.8,0,0,0,0,0
236,102158277_2738945549646397299,1.255,7.0,14.3,0.714,2,0.458,4,25.4,0.2525,14.0,0,0,0,0,0
237,102158582_2655753387652324244,0.698,1.7,10.5,0.527,2,0.625,3,14.6,0.0764,26.5,0,0,0,0,0
238,102158584_2687900321650859511,0.803,1.7,11.6,0.579,6,0.708,2,16.1,0.1616,27.6,0,0,0,0,0
239,102158584_2688054361648826754,0.604,0.9,8.2,0.41,0,0.75,3,12.3,0.1556,35.1,0,0,0,0,0
240,102158584_2688149271647967093,0.845,1.0,9.5,0.476,0,0.875,4,17.8,0.1729,58.3,0,0,0,0,0
241,102158585_2690666515648268601,1.086,2.4,9.4,0.47,2,0.667,2,23.1,0.1505,49.1,0,0,0,0,0
242,102158586_2710834800648486342,0.6,1.7,11.6,0.582,1,0.667,2,12.9,0.2441,18.8,0,0,0,0,0
243,102158589_2738592709648339236,1.09,3.2,9.7,0.483,4,0.708,5,22.7,0.0372,5.7,0,0,0,0,0
244,102158590_2749972211650622428,0.667,2.1,10.5,0.526,3,0.5,1,10.4,0.2048,9.1,0,0,0,0,0
245,102158886_2639435536653600933,0.484,4.1,13.7,0.686,5,0.708,2,10.6,0.4969,333.6,0,0,0,0,0
246,102158886_2641867744653343162,1.106,4.1,15.8,0.789,3,0.583,3,21.8,0.7003,39.2,0,0,0,0,0
247,102158887_2646461630654930628,1.458,0.8,9.8,0.492,0,0.458,2,26.6,0.0542,15.4,0,0,0,0,0
248,102158887_2654129070655512593,0.97,1.3,8.2,0.41,1,0.583,2,16.9,0.118,23.7,0,0,0,0,0
249,102158887_2655306065654633189,0.633,17.8,18.4,0.921,3,0.625,2,14.2,6.0753,153.1,0,0,0,0,0
250,102158887_2655528906655835262,0.999,1.1,11.0,0.549,3,0.625,4,19.7,0.1549,50.1,0,0,0,0,0
251,102158888_2657819747657129186,1.47,0.6,9.5,0.477,4,0.542,2,30.8,0.0698,20.6,0,0,0,0,0
252,102158888_2659467460657407372,0.993,0.9,8.7,0.433,5,0.708,10,17.5,0.0471,29.6,0,0,0,0,0
253,102158888_2659753895653871052,0.932,1.6,16.6,0.831,3,0.583,3,20.4,0.7047,20.1,0,0,0,0,0
254,102158889_2677624236654538082,1.594,4.4,12.5,0.627,4,0.583,2,30.0,0.1854,22.4,0,0,0,0,0
255,102158890_2680242082656735280,0.995,4.0,11.1,0.553,3,0.708,3,21.8,0.2406,117.3,0,0,0,0,0
256,102158890_2683357136652678772,0.639,0.6,10.7,0.536,2,0.667,4,14.0,0.3669,14.4,0,0,0,0,0
257,102158891_2699896914654311553,1.372,1.8,10.0,0.501,1,0.667,5,28.7,0.1644,17.1,0,0,0,0,0
258,102158891_2700857611652676803,1.336,6.5,11.7,0.584,3,0.583,4,28.3,0.4455,11.9,0,0,0,0,0
