name,ra_deg,dec_deg,theta_E_pub,q_pub,survey,src_table
G4_0118,159.76758,5.22658,0.0,0.0,LRGDEFL2,prop10587_vd174_ve11_z0.067
G4_0119,127.76425,19.68244,0.0,0.0,LRGDEFL2,prop12210_vd157_ve7_z0.088
G4_0120,325.47783,-0.02008,0.0,0.0,LRGDEFL2,prop10587_vd184_ve13_z0.138
G4_0121,216.24292,1.15361,0.0,0.0,LRGDEFL2,prop12210_vd280_ve21_z0.304
G4_0122,210.24562,29.55969,0.0,0.0,LRGDEFL2,prop12210_vd176_ve21_z0.341
G4_0123,196.56450,55.76078,0.0,0.0,LRGDEFL2,prop12210_vd141_ve8_z0.065
G4_0124,319.95688,-7.70047,0.0,0.0,LRGDEFL2,prop10587_vd212_ve15_z0.170
G4_0125,231.18488,-0.86922,0.0,0.0,LRGDEFL2,prop10587_vd180_ve19_z0.152
G4_0126,141.67171,7.37847,0.0,0.0,LRGDEFL2,prop12210_vd171_ve11_z0.076
G4_0127,174.15054,4.44028,0.0,0.0,LRGDEFL2,prop10587_vd261_ve14_z0.128
G4_0128,180.83458,15.98314,0.0,0.0,LRGDEFL2,prop12210_vd250_ve25_z0.265
G4_0129,243.65725,45.38147,0.0,0.0,LRGDEFL2,prop10587_vd178_ve23_z0.178
G4_0130,205.78850,60.86933,0.0,0.0,LRGDEFL2,prop10587_vd196_ve4_z0.034
G4_0131,217.66600,51.25853,0.0,0.0,LRGDEFL2,prop10587_vd213_ve10_z0.134
G4_0132,359.19833,14.45506,0.0,0.0,LRGDEFL2,prop12210_vd207_ve15_z0.145
G4_0133,141.49729,8.23661,0.0,0.0,LRGDEFL2,prop10587_vd111_ve26_z0.134
G4_0134,175.21963,56.67900,0.0,0.0,LRGDEFL2,prop10587_vd162_ve9_z0.067
G4_0135,178.03737,0.90861,0.0,0.0,LRGDEFL2,prop10587_vd224_ve18_z0.106
G4_0136,28.11575,14.24439,0.0,0.0,LRGDEFL2,prop12210_vd125_ve21_z0.136
G4_0137,131.77871,3.30625,0.0,0.0,LRGDEFL2,prop10587_vd200_ve11_z0.119
G4_0138,129.11321,52.61578,0.0,0.0,LRGDEFL2,prop12210_vd211_ve11_z0.124
G4_0139,126.15350,22.70075,0.0,0.0,LRGDEFL2,prop12210_vd318_ve24_z0.280
G4_0140,332.93171,-8.71956,0.0,0.0,LRGDEFL2,prop12210_vd137_ve6_z0.068
G4_0141,190.62133,2.81044,0.0,0.0,LRGDEFL2,prop12210_vd231_ve12_z0.206
G4_0142,143.16333,61.89522,0.0,0.0,LRGDEFL2,prop12210_vd203_ve13_z0.123
G4_0143,48.72313,-0.59136,0.0,0.0,LRGDEFL2,prop12210_vd197_ve15_z0.115
G4_0144,228.77150,61.48003,0.0,0.0,LRGDEFL2,prop10587_vd236_ve21_z0.242
G4_0145,31.74983,1.25481,0.0,0.0,LRGDEFL2,prop12210_vd188_ve13_z0.137
G4_0146,234.29692,41.43183,0.0,0.0,LRGDEFL2,prop10886_vd207_ve13_z0.142
G4_0147,235.70675,32.23569,0.0,0.0,LRGDEFL2,prop12210_vd170_ve12_z0.092
G4_0148,118.50279,42.04675,0.0,0.0,LRGDEFL2,prop12210_vd340_ve29_z0.363
G4_0149,222.81842,29.85106,0.0,0.0,LRGDEFL2,prop12210_vd245_ve9_z0.125
G4_0150,248.41358,-0.21558,0.0,0.0,LRGDEFL2,prop10587_vd191_ve8_z0.070
G4_0151,180.85367,2.55028,0.0,0.0,LRGDEFL2,prop10587_vd213_ve12_z0.164
G4_0152,255.05825,62.35261,0.0,0.0,LRGDEFL2,prop10587_vd185_ve6_z0.123
G4_0153,231.35262,1.23381,0.0,0.0,LRGDEFL2,prop10587_vd170_ve11_z0.130
G4_0154,189.71504,67.15781,0.0,0.0,LRGDEFL2,prop12210_vd222_ve10_z0.231
G4_0155,52.51033,-0.85911,0.0,0.0,LRGDEFL2,prop12210_vd183_ve45_z0.341
G4_0156,177.01108,31.05675,0.0,0.0,LRGDEFL2,prop12210_vd239_ve11_z0.142
G4_0157,192.13467,44.98214,0.0,0.0,LRGDEFL2,prop12210_vd236_ve24_z0.263
G4_0158,323.61021,10.72031,0.0,0.0,LRGDEFL2,prop12210_vd242_ve13_z0.229
G4_0159,135.44279,55.68389,0.0,0.0,LRGDEFL2,prop12210_vd194_ve10_z0.116
G4_0160,165.51392,36.92497,0.0,0.0,LRGDEFL2,prop12210_vd270_ve9_z0.094
G4_0161,170.67221,47.80628,0.0,0.0,LRGDEFL2,prop12210_vd108_ve12_z0.109
G4_0162,259.34642,57.66333,0.0,0.0,LRGDEFL2,prop10587_vd225_ve9_z0.114
G4_0163,138.63308,5.14919,0.0,0.0,LRGDEFL2,prop12210_vd209_ve11_z0.136
G4_0164,128.15458,13.57975,0.0,0.0,LRGDEFL2,prop12210_vd313_ve28_z0.397
G4_0165,167.86675,22.58072,0.0,0.0,LRGDEFL2,prop12292_vd233_ve10_z0.222
G4_0166,125.48857,10.43225,0.0,0.0,LRGDEFL2,prop12292_vd144_ve12_z0.094
G4_0167,215.60904,41.57661,0.0,0.0,LRGDEFL2,prop12292_vd87_ve20_z0.101
G4_0168,192.46767,2.41794,0.0,0.0,LRGDEFL2,prop12292_vd148_ve10_z0.096
G4_0169,173.77867,37.33994,0.0,0.0,LRGDEFL2,prop12292_vd213_ve15_z0.162
G4_0170,150.01121,28.59569,0.0,0.0,LRGDEFL2,prop12292_vd172_ve10_z0.088
G4_0171,27.40139,-0.16911,0.0,0.0,LRGDEFL2,prop12292_vd189_ve48_z0.244
G4_0172,52.46552,-0.46060,0.0,0.0,LRGDEFL2,prop12292_vd182_ve33_z0.243
G4_0173,125.61447,18.48218,0.0,0.0,LRGDEFL2,prop12292_vd159_ve9_z0.115
G4_0174,353.27204,-10.70328,0.0,0.0,LRGDEFL2,prop12292_vd235_ve9_z0.145
G4_0175,126.32075,21.16103,0.0,0.0,LRGDEFL2,prop12292_vd153_ve18_z0.101
G4_0176,138.81779,42.19797,0.0,0.0,LRGDEFL2,prop12292_vd176_ve7_z0.078
G4_0177,210.79900,15.51106,0.0,0.0,LRGDEFL2,prop12292_vd146_ve10_z0.098
G4_0178,247.29129,47.14531,0.0,0.0,LRGDEFL2,prop12292_vd172_ve8_z0.128
G4_0179,222.87262,25.84861,0.0,0.0,LRGDEFL2,prop12292_vd140_ve7_z0.051
G4_0180,142.57255,28.91672,0.0,0.0,LRGDEFL2,prop12292_vd417_ve52_z0.305
G4_0181,155.43508,20.47773,0.0,0.0,LRGDEFL2,prop12292_vd195_ve11_z0.121
G4_0182,1.88645,0.88974,0.0,0.0,LRGDEFL2,prop12292_vd197_ve49_z0.275
G4_0183,248.41483,13.68708,0.0,0.0,LRGDEFL2,prop12292_vd132_ve13_z0.117
G4_0184,120.67008,45.08132,0.0,0.0,LRGDEFL2,prop10174_vd232_ve10_z0.142
G4_0185,178.79204,62.62282,0.0,0.0,LRGDEFL2,prop10174_vd342_ve45_z0.375
G4_0186,156.46388,-0.58818,0.0,0.0,LRGDEFL2,prop10174_vd241_ve11_z0.159
G4_0187,194.82946,61.56900,0.0,0.0,LRGDEFL2,prop10174_vd266_ve19_z0.233
G4_0188,255.56983,33.34578,0.0,0.0,LRGDEFL2,prop10174_vd250_ve13_z0.178
G4_0189,120.99254,45.61545,0.0,0.0,LRGDEFL2,prop10174_vd230_ve12_z0.131
G4_0190,148.33508,52.09547,0.0,0.0,LRGDEFL2,prop10174_vd204_ve14_z0.131
G4_0191,330.57633,-8.78000,0.0,0.0,LRGDEFL2,prop10174_vd204_ve12_z0.161
G4_0192,202.68971,-1.81157,0.0,0.0,LRGDEFL2,prop10174_vd183_ve9_z0.081
G4_0193,169.41500,5.57055,0.0,0.0,LRGDEFL2,prop10174_vd267_ve21_z0.229
G4_0194,192.71050,-1.59213,0.0,0.0,LRGDEFL2,prop10174_vd236_ve9_z0.087
G4_0195,124.88304,45.57912,0.0,0.0,LRGDEFL2,prop10174_vd206_ve14_z0.194
G4_0196,233.87658,-0.64786,0.0,0.0,LRGDEFL2,prop10174_vd230_ve15_z0.161
G4_0197,259.65583,64.41451,0.0,0.0,LRGDEFL2,prop10174_vd257_ve15_z0.090
G4_0198,236.88008,57.33329,0.0,0.0,LRGDEFL2,prop10174_vd252_ve11_z0.188
G4_0199,244.67958,43.89096,0.0,0.0,LRGDEFL2,prop10174_vd296_ve24_z0.199
G4_0200,356.86704,-0.08924,0.0,0.0,LRGDEFL2,prop10174_vd407_ve57_z0.417
