stamp_id,keep_nurkyz,keep_final,reason,flags,nurkyz_comment
G4B_00395,1,0,"KNOWN lens-type object within 10arcsec: [WSL2017b] SDSS J1640+1932 (gLS, 0.04"")",,"there is a very clear arc on this image, is it a known strong lense?"
G4B_00396,0,0,,,
G4B_00397,1,1,,,
G4B_00398,1,1,,,
G4B_00399,1,0,"KNOWN lens-type object within 10arcsec: [LKS2009]SDSS J0212+0034 (Le?, 0.13"")",,
G4B_00400,0,0,,,
G4B_00401,1,0,"KNOWN lens-type object within 10arcsec: AGEL J133145+513431 system (gLS, 0.6"")",,there something similar to a big arc
G4B_00404,1,1,,,
G4B_00405,1,0,interacting/merging pair,,"a very beutiful image, like 2 galaxies merging, what is it?"
G4B_00406,1,1,,,
G4B_00413,1,1,,low_snr,dim and a bit grey
G4B_00414,0,0,,,
G4B_00415,1,1,,,
G4B_00416,1,1,,,
G4B_00417,1,1,,,
G4B_00418,1,1,,low_snr|bcg,dim and grey
G4B_00420,0,0,,,
G4B_00421,0,0,,,
G4B_00422,0,0,,,
G4B_00423,0,0,,,
G4B_00424,1,1,,,
G4B_00425,1,1,,,
G4B_00426,0,0,"(was already keep=0) known lens-type within 10"": [SBB2017] SDSS J0832+1334",,
G4B_00427,0,0,,,
G4B_00428,1,1,,,
G4B_00429,1,1,,bcg,
G4B_00430,0,0,,,
G4B_00431,0,0,"(was already keep=0) known lens-type within 10"": [SBB2017] SDSS J1119+1357",,
G4B_00432,0,0,,,
G4B_00433,1,1,,bcg,
G4B_00434,1,1,,,
G4B_00435,0,0,,,
G4B_00436,0,0,,,
G4B_00437,1,1,,,
G4B_00438,0,0,,,
G4B_00439,0,0,,,
G4B_00440,1,1,,,
G4B_00441,1,1,,low_snr,dim and grey
G4B_00442,0,0,,,
G4B_00443,0,0,"(was already keep=0) known lens-type within 10"": [MCM2012] SA22 source",,
G4B_00446,0,0,,,
G4B_00464,1,1,,,
G4B_00465,1,1,,,
G4B_00466,0,0,,,
G4B_00467,1,1,,,
G4B_00468,1,1,,bcg,
G4B_00470,1,1,,,
G4B_00471,0,0,,,
G4B_00472,1,0,"KNOWN lens-type object within 10arcsec: CLASH MACSJ1115.9+0129  850 (LeG, 8.3"")",,
