stamp_id,name,src_index,sigma_v,sigma_err,z_l,mag,re_arcsec,q,pa_deg,prom,flag_arcy,iso_a3,iso_b3,iso_a4,iso_b4,iso_m3,iso_m4,iso_harm12,iso_nann,iso_drift_px,iso_q,iso_pa_deg,flag_iso_bad,flag_pair
283,G4B_00635,453,248.0,23.0,0.279,17.507,1.648,0.83,51.4,113.0,1,-0.08602,0.01185,0.0656,-0.00168,0.08945,0.07117,0.13431,10,0.8779,0.56705,66.34899,0,1
284,G4B_00636,454,174.0,18.0,0.267,18.858,0.601,0.982,80.5,206.7,1,-0.00036,0.00122,-0.00088,0.00357,0.00218,0.00381,0.01198,10,0.11645,1.0,51.62433,0,0
285,G4B_00640,456,183.0,25.0,0.488,18.967,1.203,0.952,43.2,44.9,1,0.00231,-0.00354,-0.0027,0.00061,0.00934,0.0064,0.00393,10,0.63587,0.96666,40.42701,0,0
286,G4B_00642,457,173.0,8.0,0.099,16.271,1.147,0.95,-32.0,177.2,1,0.00013,0.00159,-0.00199,0.00613,0.00249,0.00648,0.00303,10,0.23014,0.92755,-33.50065,0,0
287,G4B_00643,458,219.0,13.0,0.325,17.419,2.807,0.924,-26.0,34.6,1,0.00041,-0.03942,0.01266,0.00576,0.05235,0.02802,0.09807,10,4.64289,0.77041,-8.78807,0,1
288,G4B_00645,460,141.0,8.0,0.066,16.128,1.535,0.702,-19.7,32.0,1,0.00257,0.02054,0.00514,-0.01453,0.05569,0.0341,0.04522,10,1.44574,0.68057,-23.99224,0,0
289,G4B_00649,463,134.0,7.0,0.132,16.993,1.098,0.85,45.4,425.4,1,-0.00323,-0.01235,0.00478,-0.0043,0.01372,0.01779,0.01245,10,0.72009,0.72965,30.75424,0,0
290,G4B_00652,465,233.0,14.0,0.178,17.041,1.344,0.967,68.0,46.4,1,-0.00181,-0.00116,-0.00287,0.00794,0.0039,0.00923,0.00296,10,0.10854,0.97434,61.54721,0,0
291,G4B_00654,466,218.0,17.0,0.201,17.266,1.73,0.861,-29.7,27.5,1,0.00128,-0.00109,-0.00314,0.007,0.0028,0.00981,0.00657,10,0.35966,0.76598,-29.12685,0,0
292,G4B_00655,467,246.0,31.0,0.327,17.506,2.187,0.907,21.0,0.0,0,-1e-05,0.00057,0.00435,0.00121,0.00594,0.00543,0.01486,10,0.1893,0.86297,18.03982,0,0
293,G4B_00657,469,193.0,11.0,0.27,17.245,1.45,0.918,-5.0,338.9,1,-0.02806,0.02653,0.00859,0.00883,0.05536,0.03342,0.17109,10,2.00636,0.8198,-14.79974,0,1
294,G4B_00658,470,203.0,8.0,0.078,15.615,1.68,0.877,39.2,35.3,1,0.00092,-6e-05,-0.00757,-0.00171,0.00168,0.00797,0.00239,10,0.08878,0.74623,42.97372,0,0
295,G4B_00662,474,203.0,14.0,0.191,18.368,0.625,0.689,-40.3,786.4,1,-0.00116,0.00063,0.00678,-0.0038,0.00212,0.01075,0.00616,10,0.12502,0.61448,-41.08696,0,0
296,G4B_00663,475,120.0,18.0,0.182,18.86,0.576,0.969,-86.1,349.1,1,0.00088,-0.00043,0.00162,-0.00071,0.00372,0.00379,0.00603,10,0.09667,1.0,-94.72763,0,0
297,G4B_00665,477,218.0,21.0,0.22,17.404,1.777,0.79,87.5,40.9,1,0.00047,0.0002,0.00855,0.00063,0.0028,0.01013,0.01083,10,0.1423,0.64433,88.24258,0,0
298,G4B_00666,478,212.0,15.0,0.214,18.498,0.526,0.757,76.8,615.4,1,0.00192,-0.00014,-0.00282,0.00209,0.00358,0.00571,0.00114,10,0.11238,0.71527,77.38832,0,0
299,G4B_00667,479,205.0,14.0,0.211,17.983,0.878,0.992,2.5,75.8,1,-0.0003,-0.00062,0.00354,-0.0017,0.00324,0.00505,0.00154,10,0.25265,0.98732,6.2708,0,0
300,G4B_00668,480,190.0,16.0,0.214,17.584,1.467,0.943,3.7,54.0,1,8e-05,0.00315,0.0037,0.00138,0.00485,0.00543,0.02556,10,0.36261,0.86213,8.06032,0,0
301,G4B_00669,481,145.0,14.0,0.211,18.221,1.105,0.746,-28.9,363.2,1,0.00062,-0.00067,0.00983,-0.00141,0.00416,0.01238,0.01919,10,0.26049,0.68793,-42.72736,0,0
302,G4B_00673,485,230.0,11.0,0.138,16.696,1.395,0.8,53.3,102.0,1,-0.0104,-0.0142,0.01901,-0.00095,0.02042,0.01961,0.02886,10,1.15189,0.56419,53.32093,0,0
303,G4B_00674,486,183.0,14.0,0.162,17.158,1.694,0.683,11.5,62.4,1,-0.00255,0.00888,-0.00125,-0.00324,0.02173,0.00637,0.03321,10,0.51998,0.46198,9.62895,0,0
304,G4B_00675,487,201.0,24.0,0.283,19.018,0.775,0.952,-57.5,70.4,1,-0.00654,0.00599,0.00536,-0.00647,0.00933,0.0209,0.02422,10,0.39669,0.98225,-70.28564,0,0
305,G4B_00676,488,199.0,14.0,0.283,18.049,1.408,0.98,34.9,99.2,1,0.00023,-0.00488,-0.0014,0.00055,0.00622,0.00531,0.00416,10,0.41211,0.94277,29.94302,0,0
306,G4B_00677,489,199.0,22.0,0.286,19.288,0.54,0.787,-35.0,183.8,1,0.00148,-0.00148,0.00425,-0.00027,0.00378,0.0096,0.00209,10,0.19019,0.74546,-38.73053,0,0
307,G4B_00678,490,184.0,16.0,0.291,18.597,1.025,0.956,-15.9,519.1,1,0.00029,-0.00154,-0.0062,-0.00023,0.00697,0.01197,0.07673,10,0.20131,0.99995,-29.75737,0,0
308,G4B_00682,493,247.0,29.0,0.395,18.651,1.196,0.958,-86.0,106.0,1,-0.00106,-0.0041,0.00254,-0.00356,0.00685,0.00788,0.00564,10,0.68837,0.89919,-104.75315,0,0
309,G4B_00684,495,248.0,6.0,0.104,16.031,1.304,0.901,74.3,126.4,1,0.00067,-0.00126,-0.0024,0.00763,0.00234,0.00869,0.00682,10,0.07195,0.79907,72.53584,0,0
310,G4B_00688,497,231.0,24.0,0.235,18.851,0.481,0.739,34.1,500.9,1,-0.00403,0.00056,0.00129,-0.00204,0.00437,0.00479,0.00389,10,0.05881,0.66559,33.00639,0,0
