stamp_id,name,src_index,sigma_v,sigma_err,z_l,mag,re_arcsec,q,pa_deg,prom,flag_arcy
76,G4_0153,150,170.0,11.0,0.13,16.87,1.249,0.898,-85.8,95.3,1
77,G4_0156,153,239.0,11.0,0.142,16.54,1.337,0.716,22.1,120.0,1
78,G4_0158,155,242.0,13.0,0.229,16.926,1.554,0.951,-44.5,35.8,1
79,G4_0160,157,270.0,9.0,0.094,15.52,1.829,0.823,-12.9,98.2,1
80,G4_0162,159,225.0,9.0,0.114,16.29,1.425,0.871,22.2,145.0,1
81,G4_0184,180,232.0,10.0,0.142,16.501,1.755,0.926,73.1,72.0,1
82,G4_0187,183,266.0,19.0,0.233,17.084,1.355,0.917,36.1,88.5,1
83,G4_0188,184,250.0,13.0,0.178,16.711,1.672,0.917,-89.6,58.6,1
84,G4_0190,186,204.0,14.0,0.131,17.277,1.245,0.888,-48.8,105.3,1
85,G4_0193,189,267.0,21.0,0.229,17.388,1.575,0.875,22.5,54.8,1
86,G4_0194,190,236.0,9.0,0.087,15.57,1.663,0.899,-72.3,69.3,1
87,G4_0195,191,206.0,14.0,0.194,17.302,1.492,0.925,55.3,51.3,1
88,G4_0198,194,252.0,11.0,0.188,16.649,1.477,0.953,42.4,0.0,0
89,G4_0200,196,407.0,57.0,0.417,18.023,1.196,0.833,54.4,101.4,1
