name,ra_deg,dec_deg,theta_E_pub,q_pub,survey,src_table
G4B_00104,132.91261,33.52020,0.0,0.0,LRGDEFL2B,tierA|vd=266+-35|z=0.370|WFC3UVIS|2380s|P13003
G4B_00105,132.90199,33.51564,0.0,0.0,LRGDEFL2B,tierA|vd=252+-21|z=0.375|WFC3UVIS|2380s|P13003
G4B_00106,30.33915,32.47491,0.0,0.0,LRGDEFL2B,tierA|vd=258+-20|z=0.396|WFC3UVIS|2372s|P17458
G4B_00107,119.48626,43.23201,0.0,0.0,LRGDEFL2B,tierA|vd=314+-47|z=0.467|ACSWFC|2312s|P--
G4B_00108,174.51838,3.25657,0.0,0.0,LRGDEFL2B,tierA|vd=308+-29|z=0.449|ACSWFC|2296s|P9744
G4B_00109,259.27872,29.52251,0.0,0.0,LRGDEFL2B,tierA|vd=268+-26|z=0.278|ACSWFC|2286s|P15670
G4B_00110,183.72467,36.22615,0.0,0.0,LRGDEFL2B,tierA|vd=316+-48|z=0.426|ACSWFC|2280s|P10915
G4B_00111,185.45023,38.10937,0.0,0.0,LRGDEFL2B,tierA|vd=315+-17|z=0.181|ACSWFC|2255s|P--
G4B_00112,130.74012,36.36695,0.0,0.0,LRGDEFL2B,tierA|vd=331+-20|z=0.283|ACSWFC|2255s|P--
G4B_00113,130.72568,36.35152,0.0,0.0,LRGDEFL2B,tierA|vd=252+-22|z=0.284|ACSWFC|2255s|P--
G4B_00114,197.73478,21.96572,0.0,0.0,LRGDEFL2B,tierA|vd=322+-22|z=0.282|ACSWFC|2250s|P15670
G4B_00115,189.48748,62.34994,0.0,0.0,LRGDEFL2B,tierA|vd=323+-42|z=0.484|ACSWFC|2246s|P12443
G4B_00116,188.98425,62.27161,0.0,0.0,LRGDEFL2B,tierA|vd=292+-22|z=0.296|ACSWFC|2236s|P12444
G4B_00117,188.91007,62.24305,0.0,0.0,LRGDEFL2B,tierA|vd=267+-42|z=0.509|ACSWFC|2236s|P12445
G4B_00118,179.92203,-0.13335,0.0,0.0,LRGDEFL2B,tierA|vd=297+-34|z=0.511|ACSWFC|2204s|P--
G4B_00119,179.92772,-0.10125,0.0,0.0,LRGDEFL2B,tierA|vd=273+-49|z=0.463|ACSWFC|2204s|P--
G4B_00120,200.25475,16.71008,0.0,0.0,LRGDEFL2B,tierA|vd=272+-35|z=0.449|ACSWFC|2194s|P14667
G4B_00121,350.87701,-1.01144,0.0,0.0,LRGDEFL2B,tierA|vd=292+-51|z=0.510|ACSWFC|2180s|P14608
G4B_00122,17.57586,19.63859,0.0,0.0,LRGDEFL2B,tierA|vd=307+-11|z=0.313|ACSWFC|2156s|P10152
G4B_00123,126.53775,26.41847,0.0,0.0,LRGDEFL2B,tierA|vd=300+-40|z=0.357|ACSWFC|2156s|P10490
G4B_00124,169.32200,17.74968,0.0,0.0,LRGDEFL2B,tierA|vd=295+-16|z=0.245|ACSWFC|2156s|P--
G4B_00125,17.57600,19.64854,0.0,0.0,LRGDEFL2B,tierA|vd=256+-20|z=0.319|ACSWFC|2156s|P10152
G4B_00126,352.21792,14.87873,0.0,0.0,LRGDEFL2B,tierA|vd=377+-63|z=0.499|ACSWFC|2152s|P--
G4B_00127,141.65277,12.71780,0.0,0.0,LRGDEFL2B,tierA|vd=310+-35|z=0.492|ACSWFC|2152s|P10152
G4B_00128,170.79550,14.14363,0.0,0.0,LRGDEFL2B,tierA|vd=303+-31|z=0.341|ACSWFC|2152s|P10152
G4B_00129,326.52298,4.38698,0.0,0.0,LRGDEFL2B,tierA|vd=450+-49|z=0.524|ACSWFC|2148s|P10152
G4B_00130,208.57170,-2.36638,0.0,0.0,LRGDEFL2B,tierA|vd=357+-42|z=0.548|ACSWFC|2148s|P--
